Date,Team,Score,Result,Home or Away,Unix Timestamp
"Sun, Jan 22 2023 5:00 PM",New York,,,Home,1674428400.0
"Wed, Jan 25 2023 9:00 PM",Sacramento,,,Away,1674702000.0
"Fri, Jan 27 2023 9:00 PM",Golden State,,,Away,1674874800.0
"Sat, Jan 28 2023 9:00 PM",Portland,,,Away,1674961200.0
"Mon, Jan 30 2023 8:00 PM",Phoenix,,,Away,1675130400.0
"Wed, Feb 1 2023 8:00 PM",Utah,,,Away,1675303200.0
"Fri, Feb 3 2023 7:00 PM",Houston,,,Away,1675472400.0
"Sun, Feb 5 2023 5:00 PM",Memphis,,,Away,1675638000.0
"Wed, Feb 8 2023 6:30 PM",San Antonio,,,Home,1675902600.0
"Fri, Feb 10 2023 6:30 PM",Utah,,,Home,1676075400.0
"Sun, Feb 12 2023 2:00 PM",Detroit,,,Home,1676232000.0
"Tue, Feb 14 2023 6:30 PM",Orlando,,,Home,1676421000.0
"Thu, Feb 23 2023 6:30 PM",New Orleans,,,Home,1677198600.0
"Sat, Feb 25 2023 11:00 AM",Detroit,,,Away,1677344400.0
"Sun, Feb 26 2023 5:00 PM",Cleveland,,,Away,1677452400.0
"Tue, Feb 28 2023 6:30 PM",Chicago,,,Home,1677630600.0
"Thu, Mar 2 2023 6:00 PM",Washington,,,Away,1677801600.0
"Sat, Mar 4 2023 4:00 PM",Washington,,,Away,1677967200.0
"Mon, Mar 6 2023 8:00 PM",Denver,,,Away,1678154400.0
"Wed, Mar 8 2023 9:00 PM",LA,,,Away,1678330800.0
"Fri, Mar 10 2023 9:30 PM",Los Angeles,,,Away,1678505400.0
"Tue, Mar 14 2023 6:30 PM",Denver,,,Home,1678836600.0
"Thu, Mar 16 2023 6:30 PM",Oklahoma City,,,Home,1679009400.0
"Sat, Mar 18 2023 6:00 PM",Minnesota,,,Home,1679180400.0
"Sun, Mar 19 2023 7:00 PM",Milwaukee,,,Away,1679270400.0
"Wed, Mar 22 2023 6:30 PM",Indiana,,,Home,1679527800.0
"Fri, Mar 24 2023 6:30 PM",Detroit,,,Home,1679700600.0
"Sun, Mar 26 2023 5:00 PM",Washington,,,Home,1679868000.0
"Tue, Mar 28 2023 6:30 PM",Miami,,,Home,1680046200.0
"Fri, Mar 31 2023 6:00 PM",Philadelphia,,,Away,1680303600.0
"Sun, Apr 2 2023 12:00 PM",Charlotte,,,Away,1680454800.0
"Tue, Apr 4 2023 6:00 PM",Charlotte,,,Away,1680649200.0
"Wed, Apr 5 2023 6:30 PM",Boston,,,Away,1680737400.0
"Fri, Apr 7 2023 6:30 PM",Boston,,,Away,1680910200.0
"Sun, Apr 9 2023 12:00 PM",Milwaukee,,,Home,1681059600.0
